Year,Astoria,Tillamook,Newport,Coos Bay,Brookings,Crescent City,Eureka,Fort Bragg,San Francisco,Monterey,Neah Bay,La Push,Westport,Ilwaco
1971,1029,1867,4130,7198,23841,,,,,,,,,
1972,525,2393,9646,8993,12113,,,,,,,,,
1973,733,3774,40795,90944,9462,,,,,,,,,
1974,1017,3385,8028,52761,14229,,,,,,,,,
1975,754,2346,8910,28098,11652,,,,,,,,,
1976,1523,1895,12169,25248,13022,3382,1040,9906,8195,14271,15232,21615,16801,4371
1977,1261,3094,31577,57119,23299,7098,9029,40283,13501,8278,12474,7775,9723,4924
1978,1041,1549,15165,18656,10459,1649,1279,12330,11493,7189,7352,12376,5266,1438
1979,3046,2527,10618,25974,60192,15321,42898,57586,15096,4773,5353,6767,22958,3601
1980,529,4375,12333,17558,28303,5277,10846,14102,12343,12395,3497,6445,11780,2226
1981,513,2381,7157,10692,44600,31230,28315,19081,26918,5647,3018,4042,10257,1289
1982,0,703,1482,13979,28979,33044,15952,17822,58215,14340,293,,54,
1983,206,1131,6014,1237,1184,2064,3663,7620,10025,3469,63,119,672,357
1984,257,1143,6602,10195,18629,4860,2777,4118,58590,3743,1236,8,,312
1985,490,690,4617,50198,7005,,,35816,22455,895,2511,1082,,452
1986,1585,3076,5516,83311,22127,5584,13803,28104,26983,10060,1147,990,418,3436
1987,,11700,23663,47387,,,,49204,28544,6394,,,,
1988,,8826,32518,87616,,,,52196,47103,12582,242,,,
1989,1483,4345,10146,59038,1920,631,2028,46334,20889,10632,282,0,,496
1990,449,3112,2334,44070,2072,1386,4349,5030,9233,5386,1017,590,2559,623
1991,451,1923,5784,3889,,,,34300,28300,3000,579,104,,447
1992,74,2171,21880,2035,,,,,37700,3600,833,838,1812,15
1993,37,642,9398,396,,,,,40253,8124,281,63,602,7
1994,,,,,234,,,,26272,1107,,,,
1995,,6636,79387,11855,,,,,17030,13850,3,,,
1996,,1088,53636,6073,2667,98,2599,14443,11979,2159,,,,
1997,,292,38819,5477,255,,,,24737,,,,,
1998,,2181,15983,2711,75,,,,15307,593,,,,
1999,,963,1028,15229,844,,,,23555,480,1524,150,486,
2000,1951,5887,14178,27277,1405,,,,25743,1290,,,752,513
2001,753,6776,40694,13237,1290,,,,14056,116,,,846,148
2002,4512,5361,7648,15292,1326,681,1392,40788,13584,2524,2813,1151,3817,482
2003,2377,1451,22804,13066,1108,,,84285,25978,823,5848,1631,4577,383
2004,331,457,11018,65177,2011,19686,,30487,12843,1195,5727,2056,1102,99
2005,3672,,,,,,,,29468,5578,3182,2553,1338,662
2006,61,39,923,,,,,,18341,248,662,2658,138,1
2007,163,59,338,11963,1524,,,15173,7434,605,20,437,264,50
2008,161,,,,,,,,,,17,380,764,24
2009,117,,,,,,,,,,3,272,405,46
2010,1657,72,2409,1316,125,,,6182,,,332,1147,5788,237
2011,239,52,561,399,337,406,401,17766,1395,333,30,781,1709,12
2012,149,55,5819,2897,1328,,,12304,14292,1670,421,5868,109,0
2013,279,2869,5569,30097,1848,116,1892,14916,7819,514,87,1806,6796,19
2014,175,246,36167,30187,403,,,7788,15879,418,56,1672,3936,297
2015,700,186,5544,1727,92,,,3848,7055,564,104,3619,6108,337
2016,627,23,8063,541,,,,4515,13819,,7,89,1866,398
2017,611,,,,,,,,18336,,2158,1275,1852,21
2018,38,58,10994,1215,614,1899,1878,4137,19790,,283,1119,281,19
2019,93,42,4424,174,1312,2810,835,3432,49779,,219,2373,49,28