Year,P. Whiting,Sablefish,Lingcod,P. Cod,Other Roundfish,Rockfish,Thornyheads,Arrowtooth Flounder,Dover Sole,English Sole,Petrale Sole,Other Flatfish,Other Groundfish
1981,838,11419,3303,1237,41,57778,1801,1074,16467,2711,2041,3672,960
1982,1027,18627,3840,908,46,59315,2158,2351,21000,2793,2630,3931,728
1983,1051,14652,4252,597,16,46289,1749,2077,20084,2356,2214,3001,639
1984,2721,14015,4029,585,25,36819,3189,2379,19307,1721,1739,2660,615
1985,3894,14132,3839,411,18,33263,4069,2679,20616,1929,1839,3460,772
1986,3465,13150,1891,331,37,33386,3610,2230,17396,2039,1750,2761,433
1987,4795,12601,2587,2281,38,36526,3747,2830,18489,2482,2205,2915,485
1988,6867,10744,2767,3345,41,35193,5663,1946,18184,2103,2149,2731,514
1989,7414,10284,3563,2188,43,37238,8085,3552,18880,2412,2153,2969,589
1990,9632,9065,2907,1064,22,33178,10084,5824,15753,1912,1765,2505,827
1991,23970,9501,3167,1796,24,28737,6515,4945,18273,2185,1927,3239,1267
1992,56127,9361,1888,1778,37,28121,8873,3573,16074,1626,1554,2018,1525
1993,42108,8146,2210,1369,23,29004,9224,2713,14371,1602,1503,1938,2180
1994,73616,7579,1907,866,50,23539,8048,3249,9388,1124,1375,2439,2497
1995,74962,7915,1469,504,102,21979,7555,2321,10593,1133,1659,2559,1740
1996,85128,8317,1559,445,124,21669,6532,2192,12187,1154,1829,1999,3318
1997,87416,7943,1569,595,175,18245,5504,2343,10125,1505,1948,2309,3891
1998,87856,4384,350,413,221,16298,3526,3168,8023,1140,1463,1700,2468
1999,83470,6643,363,280,190,10830,2646,5285,9145,908,1497,2025,2625
2000,85854,6281,146,279,193,8891,2378,3276,8780,769,1893,1622,2672
2001,73412,5636,156,323,424,5673,1761,2465,6890,993,1845,1717,2258
2002,45708,3798,205,752,3876,2962,2716,2085,6301,1175,1797,1725,1957
2003,55335,5420,165,1250,338,1667,2402,2327,7356,931,2070,1561,2068
2004,96503,5756,178,1403,163,2112,1477,2327,6745,952,1964,1393,1328
2005,109052,6208,203,851,297,1900,1312,2240,6902,929,2734,1236,1587
2006,127165,6199,260,367,68,1462,1460,1922,5970,912,2610,1215,1649
2007,91441,5245,268,89,68,1494,1822,2262,9279,689,2253,972,1617
2008,67861,5872,285,38,72,1525,2679,2668,11227,363,2220,811,2159
2009,49222,7198,233,235,84,2073,2703,3844,11747,357,1767,971,1751
2010,64736,6832,173,345,68,2287,2712,3228,10392,221,803,745,1596
2011,103189,6421,377,604,88,2553,1910,2332,7782,170,935,686,1662
2012,66368,5299,493,631,84,2986,1790,2340,7328,189,1118,694,1597
2013,103159,4140,507,393,81,2828,2066,1991,7970,332,2253,789,1370
2014,98836,4426,419,437,69,3200,1714,1249,6449,257,2409,779,1484
2015,58011,5171,450,801,78,3979,1626,1324,6327,303,2665,805,1560
2016,88505,5417,485,579,75,3273,1591,1103,7318,385,2728,825,1616
2017,150841,5539,832,157,115,10609,2316,1019,7892,369,3155,779,1303
2018,135112,5249,693,90,93,16018,1193,600,6421,204,2894,629,1412
2019,148210,5308,713,52,420,16084,940,407,5767,157,2612,425,1259